"# 9/27/2020","Country/ Other","Total Cases","New Cases","Total Deaths","New Deaths","Total Recovered","New Recovered","Active Cases","Serious/ Critical","Tot Cases/ 1M pop","Deaths/ 1M pop","Total Tests","Tests/ 1M pop",Population,Continent,"1 Case every X ppl","1 Death every X ppl","1 Test every X ppl"
,Asia,"10,295,880","+114,593","189,522","+1,694","8,587,886","+118,438","1,518,472","20,809",,,,,,Asia,,,
,North America,"8,736,975","+44,138","307,501",+752,"5,571,454","+43,626","2,858,020","17,636",,,,,,North America,,,
,South America,"7,919,098","+39,845","248,722",+966,"6,741,703","+49,781","928,673","17,214",,,,,,South America,,,
,Europe,"4,859,045","+50,987","220,405",+398,"2,489,105","+10,517","2,149,535","8,151",,,,,,Europe,,,
,Africa,"1,467,555","+8,365","35,215",+135,"1,213,045","+5,734","219,295","1,515",,,,,,Africa,,,
,Oceania,"31,043",+26,912,+2,"28,286",+65,"1,845",22,,,,,,Australia/Oceania,,,
,Maritime,721,,15,,651,,55,4,,,,,,Maritime,,,
,World,"33,310,317","+257,954","1,002,292","+3,947","24,632,130","+228,161","7,675,895","65,351","4,273",128.6,,,,All,,,
1,China,"85,351",+14,"4,634",,"80,541",+5,176,4,59,3,"160,000,000","111,163","1,439,323,776",Asia,"16,864","310,601",9
2,USA,"7,321,343","+33,782","209,453",+276,"4,560,456","+36,348","2,551,434","14,130","22,087",632,"104,335,162","314,762","331,473,384",North America,45,"1,583",3
3,India,"6,073,348","+82,767","95,574","+1,040","5,013,367","+74,679","964,407","8,944","4,391",69,"71,257,836","51,514","1,383,271,092",Asia,228,"14,473",19
4,Brazil,"4,732,309","+14,194","141,776",+335,"4,060,088","+9,251","530,445","8,318","22,225",666,"17,900,000","84,067","212,925,036",South America,45,"1,502",12
5,Russia,"1,151,438","+7,867","20,324",+99,"943,218","+3,068","187,896","2,300","7,889",139,"45,100,000","309,010","145,949,784",Europe,127,"7,181",3
6,Colombia,"813,056","+7,018","25,488",+192,"711,472","+11,360","76,096","2,220","15,938",500,"3,636,868","71,293","51,013,271",South America,63,"2,001",14
7,Peru,"805,302","+5,160","32,262",+120,"664,490","+6,654","108,550","1,370","24,343",975,"3,850,122","116,383","33,081,592",South America,41,"1,025",9
8,Spain,"745,841","+5,321","31,352",+60,N/A,N/A,N/A,"1,465","15,951",670,"11,820,505","252,795","46,759,213",Europe,63,"1,491",4
9,Mexico,"726,431","+5,573","76,243",+399,"521,241","+3,037","128,947","2,631","5,620",590,"1,665,057","12,882","129,258,499",North America,178,"1,695",78
10,Argentina,"711,325","+8,841","15,749",+206,"565,935","+9,446","129,641","3,604","15,704",348,"1,905,361","42,065","45,295,750",South America,64,"2,876",24
11,South Africa,"670,766","+1,268","16,398",+22,"603,721","+1,903","50,647",539,"11,276",276,"4,143,466","69,652","59,487,798",Africa,89,"3,628",14
12,France,"538,569","+11,123","31,727",+27,"94,891",,"411,951","1,098","8,247",486,"10,556,474","161,639","65,308,767",Europe,121,"2,058",6
13,Chile,"457,901","+1,922","12,641",+50,"431,704","+1,445","13,556",888,"23,904",660,"3,228,414","168,535","19,155,801",South America,42,"1,515",6
14,Iran,"446,448","+3,362","25,589",+195,"374,170","+2,119","46,689","4,059","5,299",304,"3,932,571","46,677","84,250,361",Asia,189,"3,292",21
15,United Kingdom,"434,969","+5,693","41,988",+17,N/A,N/A,N/A,262,"6,399",618,"23,188,836","341,150","67,972,591",Europe,156,"1,619",3
16,Bangladesh,"359,148","+1,275","5,161",+32,"270,491","+1,714","83,496",,"2,176",31,"1,909,460","11,567","165,084,336",Asia,460,"31,987",86
17,Iraq,"349,450","+3,481","8,990",+55,"280,673","+3,755","59,787",533,"8,642",222,"2,198,859","54,381","40,434,573",Asia,116,"4,498",18
18,Saudi Arabia,"333,193",+403,"4,683",+28,"317,005",+600,"11,505","1,032","9,535",134,"6,348,385","181,678","34,943,001",Asia,105,"7,462",6
19,Turkey,"314,433","+1,467","7,997",+68,"275,630","+1,116","30,806","1,583","3,719",95,"10,037,700","118,709","84,557,198",Asia,269,"10,574",8
20,Pakistan,"310,275",+694,"6,457",+6,"295,613",+280,"8,205",584,"1,398",29,"3,420,654","15,415","221,906,243",Asia,715,"34,367",65
21,Italy,"309,870","+1,766","35,835",+17,"224,417",+724,"49,618",254,"5,127",593,"11,087,064","183,439","60,439,986",Europe,195,"1,687",5
22,Philippines,"304,215","+2,984","5,344",+60,"252,502","+19,622","46,369","1,758","2,767",49,"3,624,620","32,972","109,929,959",Asia,361,"20,571",30
23,Germany,"286,338","+1,313","9,534",+2,"250,800","+1,300","26,004",325,"3,415",114,"15,642,654","186,557","83,849,223",Europe,293,"8,795",5
24,Indonesia,"275,213","+3,874","10,386",+78,"203,014","+3,611","61,813",,"1,004",38,"3,207,055","11,695","274,219,048",Asia,996,"26,403",86
25,Israel,"231,026","+3,926","1,466",+25,"159,931","+2,394","69,629",767,"25,118",159,"3,424,497","372,325","9,197,590",Asia,40,"6,274",3
26,Ukraine,"198,634","+3,130","3,959",+56,"87,882","+1,009","106,793",177,"4,549",91,"2,189,926","50,149","43,668,725",Europe,220,"11,030",20
27,Canada,"153,125","+1,454","9,268",+6,"131,098",+770,"12,759",97,"4,049",245,"7,117,709","188,190","37,821,986",North America,247,"4,081",5
28,Ecuador,"134,747",+766,"11,279",+6,"112,296","+9,444","11,172",355,"7,610",637,"418,785","23,651","17,706,909",South America,131,"1,570",42
29,Bolivia,"133,592",+370,"7,828",+28,"93,406",+538,"32,358",71,"11,407",668,"296,371","25,307","11,711,085",South America,88,"1,496",40
30,Qatar,"125,084",+234,214,,"121,995",+257,"2,875",52,"44,549",76,"760,267","270,769","2,807,805",Asia,22,"13,121",4
31,Romania,"122,673","+1,438","4,718",+31,"98,607","+1,053","19,348",535,"6,387",246,"2,366,178","123,201","19,205,890",Europe,157,"4,071",8
32,Morocco,"117,685","+2,444","2,069",+28,"95,591","+1,441","20,025",369,"3,179",56,"2,553,350","68,981","37,015,500",Africa,315,"17,891",14
